patient_id,CCDC113,SLC26A8,PPP1R3D,LOC100131780,CLEC4C,label,source
SYN_0001,3.5654786205300475,3.253085239392037,6.725726692007264,7.803225802739146,5.1349905041705375,1,monte_carlo_synthetic
SYN_0002,3.32562284428089,3.408553896388835,6.5612525838841655,7.625239873448432,5.988771604677607,1,monte_carlo_synthetic
SYN_0003,3.2345345145108304,3.435288172807434,6.49950451407141,7.806580378120439,5.37779396660667,1,monte_carlo_synthetic
SYN_0004,3.3523423288356695,3.357235761338803,6.597833964448188,7.8492963386577586,5.863269049035576,1,monte_carlo_synthetic
SYN_0005,3.5254296726120797,3.102478905188089,6.429674186557295,7.591768823127813,4.8337941281744055,1,monte_carlo_synthetic
SYN_0006,3.6429806077555495,3.7879804654362386,5.941219655093207,7.382830331137469,5.160970986842001,0,monte_carlo_synthetic
SYN_0007,3.4090682887286907,3.392312268789162,5.99134637618634,7.806406529003077,5.105821193010092,1,monte_carlo_synthetic
SYN_0008,3.3985008270740398,3.208481916055839,6.214948697571788,7.916664460391285,5.709138059943305,1,monte_carlo_synthetic
SYN_0009,3.8719313110809046,2.8216349725663505,5.98062866134333,7.329210231951412,5.385987123946006,0,monte_carlo_synthetic
SYN_0010,3.1303076380856467,3.40968736458386,6.442092203262089,7.958479245038559,5.380599857483926,1,monte_carlo_synthetic
SYN_0011,3.3327530398088347,4.101849227646594,5.4522757766843295,7.384179696104936,4.899732632529368,0,monte_carlo_synthetic
SYN_0012,3.3173785812016097,3.2139334535431043,6.30719484096776,7.803229580686064,5.1720450091480235,1,monte_carlo_synthetic
SYN_0013,4.316593833730319,3.7087658790378977,6.530745375177958,7.515366287839684,5.7096760443026815,0,monte_carlo_synthetic
SYN_0014,3.2859499124918115,3.464135915404522,6.595319973716456,7.877370526540273,5.697973503988754,1,monte_carlo_synthetic
SYN_0015,3.300422117785566,3.6332428383470106,6.262929438140779,7.810069071987034,6.258048529415559,1,monte_carlo_synthetic
SYN_0016,3.341162384022304,3.2229098047217697,6.4112867007263805,7.659924587105337,5.489504634857561,1,monte_carlo_synthetic
SYN_0017,4.070455469066189,4.153020603426836,6.35627988454472,7.446255638788147,4.945213029361246,0,monte_carlo_synthetic
SYN_0018,3.3996473591576835,3.2678607820293175,6.3171636588314595,7.635658160636654,5.368786151863356,1,monte_carlo_synthetic
SYN_0019,4.043831170112041,3.61199896053379,5.341630244998308,7.487763925329515,4.98684573044732,0,monte_carlo_synthetic
SYN_0020,3.323652708432871,3.4662062703440886,6.29809886254638,7.957909639146425,5.790735465064755,1,monte_carlo_synthetic
SYN_0021,3.37147427131676,3.2400760167716314,6.783080547573885,7.557506254871341,5.237218345751445,1,monte_carlo_synthetic
SYN_0022,3.381619198095878,3.191810920383002,6.850190887591349,7.7126617054063304,5.523980662514253,1,monte_carlo_synthetic
SYN_0023,3.3152185684471718,3.4145235992681924,6.151611096897825,7.607606950565457,5.4210902728198285,1,monte_carlo_synthetic
SYN_0024,4.357399671470015,4.493095730732732,6.72878253834362,7.578991498275693,6.083293934271579,0,monte_carlo_synthetic
SYN_0025,3.067635247922503,3.2500923881343127,6.477505051153091,7.871783169551574,5.523083748288273,1,monte_carlo_synthetic
SYN_0026,3.412407695241578,3.28590964943755,6.290140928671958,7.637272177871563,5.351803550540379,1,monte_carlo_synthetic
SYN_0027,3.098996589447108,3.383611910715768,6.9197171706269955,7.80422686912507,6.090045691045988,1,monte_carlo_synthetic
SYN_0028,3.55440296945257,3.3532938346247514,6.263772053954578,7.508038032315558,4.934691785946533,1,monte_carlo_synthetic
SYN_0029,3.4442099082236783,3.2364001921099126,6.746495104018811,7.832014011171735,5.860729353727049,1,monte_carlo_synthetic
SYN_0030,3.2829731989041626,3.401407445588113,6.087182280266252,7.895903527134097,5.77779337111965,1,monte_carlo_synthetic
SYN_0031,3.486787383303846,3.494821872242669,6.388461159149028,7.731092415240717,5.062033695685586,1,monte_carlo_synthetic
SYN_0032,3.562561974748661,3.256384911572563,6.415739324052721,7.783241899138862,5.4985553151529745,1,monte_carlo_synthetic
SYN_0033,3.665948864275576,3.5290889687759,6.741811041843414,8.181360350665516,5.649820579857461,1,monte_carlo_synthetic
SYN_0034,3.192351751687381,3.3397195814090463,6.912046657415493,7.754065245147394,5.146147149191726,1,monte_carlo_synthetic
SYN_0035,3.2239464047390847,3.5611352372413205,6.51624773924312,7.934322968135988,5.741067342814877,1,monte_carlo_synthetic
SYN_0036,3.205324347858862,3.4282125571910274,6.703455107437953,7.923967426121438,5.9714055009346385,1,monte_carlo_synthetic
SYN_0037,3.1979937119991115,3.465518672437412,6.249256592949186,7.626127051564967,5.3877104480663425,1,monte_carlo_synthetic
SYN_0038,3.7473765702007666,4.521216041169087,6.055783566539138,7.30106247724657,4.94153587438219,0,monte_carlo_synthetic
SYN_0039,3.3766079971028344,3.329090383597012,6.883104060009721,7.933740088473207,5.476524184925692,1,monte_carlo_synthetic
SYN_0040,3.4192489462004625,3.36431114823221,6.509351061183937,7.781868412091676,5.473819576606572,1,monte_carlo_synthetic
SYN_0041,3.497598595982905,3.3981058991716853,6.564685223455168,7.941713597632775,5.81026750583559,1,monte_carlo_synthetic
SYN_0042,3.252095144673667,3.378315862200429,6.645688572452263,7.444643270476816,5.621845349555613,1,monte_carlo_synthetic
SYN_0043,3.239720464026338,3.3380807420469147,6.309062884746249,7.606626598520076,5.365659172530661,1,monte_carlo_synthetic
SYN_0044,3.303206634814322,3.2357097040394134,6.00424076691249,7.710602271577885,5.094936904115419,1,monte_carlo_synthetic
SYN_0045,4.395370616233833,3.305298374205493,5.603295800626421,7.24979194899475,5.05424779555055,0,monte_carlo_synthetic
SYN_0046,3.6198187268553728,3.6281800077769297,6.517535474643271,7.704675227619597,5.596881212731774,0,monte_carlo_synthetic
SYN_0047,3.3280694805185327,3.4726876198082905,6.353056002606386,7.948969730447835,5.511934524938118,1,monte_carlo_synthetic
SYN_0048,3.456666300830203,3.391202060930974,6.474702351353686,7.866154130744312,5.260157043453502,1,monte_carlo_synthetic
SYN_0049,3.4996352177196868,3.2929828959736764,6.278712132405909,7.742196253392538,5.166123158545291,1,monte_carlo_synthetic
SYN_0050,3.763875071507575,3.930108688348169,6.421021593543463,7.313474960450753,5.205330289196276,0,monte_carlo_synthetic
SYN_0051,3.605190094505688,4.344003900268094,4.8810447480782075,7.46685306662125,3.9584057192205417,0,monte_carlo_synthetic
SYN_0052,3.2308659970663993,3.4670237381994147,6.2699894593275785,7.915112793166067,5.450550097309895,1,monte_carlo_synthetic
SYN_0053,4.0940764352971115,3.4497976594822357,6.914753389944958,8.250388622627545,5.271668150400987,0,monte_carlo_synthetic
SYN_0054,3.7120247532901502,4.693733470618168,6.302676959205974,7.448329751382507,4.813468310546774,0,monte_carlo_synthetic
SYN_0055,3.1028895344581433,3.3887937293608195,6.156454455317418,7.901159457000897,5.396453838033235,1,monte_carlo_synthetic
SYN_0056,3.4562078691964393,3.5141560198069137,6.687975373085906,8.202708944521959,6.058774316228701,1,monte_carlo_synthetic
SYN_0057,3.147448161094055,3.341264744709664,6.857922416843239,7.949322139202759,5.992256502636445,1,monte_carlo_synthetic
SYN_0058,3.265143626594401,3.422504017826191,6.6547577576819155,8.07884926509572,5.88315471585708,1,monte_carlo_synthetic
SYN_0059,3.2185272727551673,3.317793600020638,6.4009222084382165,7.90451325940183,5.598053948815748,1,monte_carlo_synthetic
SYN_0060,3.5926562693112247,3.2119586315955337,6.119871333729359,7.650353465442925,4.649825049580596,1,monte_carlo_synthetic
SYN_0061,3.5216142365053154,3.3492987348707945,6.834583628751975,7.805629715437724,5.366229365294743,1,monte_carlo_synthetic
